unit_id,connection_type,technology,tier,rsp,state_or_territory,geography,is_this_service_impaired,is_this_service_underperforming,gateway_mac,All hour trimmed mean download speed,All hour minimum download speed,All hour maximum download speed,Busy hour trimmed mean download speed,Busy hour minimum download speed,Busy hour maximum download speed,All hour trimmed mean upload speed,All hour minimum upload speed,All hour maximum upload speed,Busy hour trimmed mean upload speed,Busy hour minimum upload speed,Busy hour maximum upload speed,All hour trimmed mean latency,All hour minimum latency,All hour maximum latency,Busy hour trimmed mean latency,Busy hour minimum latency,Busy hour maximum latency,Average daily outages
2535447,NBN,Fibre to the Node,50/20 Mbps,Telstra,WA,Urban,FALSE,FALSE,bc:3xxxxxx,49.26,40.72,52.07,48.77,40.72,51.96,12.71,7.31,13.93,12.64,12.16,13.39,11.1,8.26,13.15,11.1,8.26,13.15,0.03
23244569,NBN,Fibre to the Node,50/20 Mbps,iiNet,WA,Urban,FALSE,FALSE,54:axxxxxx,52.88,30.11,54.11,52.59,48.28,53.86,16.88,16.67,17.2,16.85,16.67,17.2,9.65,6.76,11.31,9.68,7.04,11.23,0
26490141,NBN,Fibre to the Premises,100/40 Mbps,Aussie Broadband,WA,Urban,FALSE,FALSE,74:8xxxxxx,107.94,91.85,110.08,107.43,91.85,110.08,37.89,35.55,38.04,37.9,37.48,37.96,1.47,1.37,20.14,1.48,1.39,2.54,0.03
40518689,NBN,Fibre to the Premises,100/20 Mbps,TPG,WA,Urban,FALSE,FALSE,9c:5xxxxxx,107.04,89.65,107.78,106.67,89.65,107.37,17.09,16.27,18.56,17.07,16.38,17.28,2.67,2.58,66.55,2.69,2.64,4.08,0.13
55276837,NBN,Hybrid Fibre Coaxial,50/20 Mbps,Dodo & iPrimus,WA,Urban,FALSE,FALSE,24:4xxxxxx,53.28,26.81,54.13,53.22,49.59,53.83,18.79,12.8,18.93,18.75,17.66,18.9,9.08,8.44,11.54,9.16,8.46,10.23,0.06
50570797,NBN,Fibre to the Premises,100/20 Mbps,Aussie Broadband,WA,Urban,FALSE,FALSE,c8:7xxxxxx,107.92,91.98,108.61,107.51,91.98,108.51,18.81,17.58,18.96,18.81,18.59,18.88,2.32,2.23,4.44,2.39,2.28,4.44,0.03
103959605,NBN,Fibre to the Node,25/5 Mbps,Dodo & iPrimus,WA,Urban,FALSE,FALSE,a4:7xxxxxx,26.2,19.04,26.5,26.28,25.18,26.42,4.7,4.47,4.79,4.7,4.62,4.73,16.41,16.05,38.7,16.49,16.24,17.44,0.03
2975297,NBN,Fibre to the Premises,100/20 Mbps,Vodafone,WA,Urban,FALSE,FALSE,a0:bxxxxxx,107.33,98.55,108.58,106.93,98.55,108.58,18.79,17.34,18.89,18.76,17.34,18.85,2.71,2.56,3.67,2.71,2.62,2.85,0.1
93458501,NBN,Fibre to the Node,50/20 Mbps,iiNet,WA,Urban,TRUE,TRUE,70:4xxxxxx,33.04,31.01,33.67,33.02,31.01,33.67,10.15,9.62,10.71,10.18,9.86,10.64,10.79,6.58,12.87,10.71,7.84,11.8,0.03
81801541,NBN,Fibre to the Node,25/10 Mbps,Aussie Broadband,WA,Urban,FALSE,FALSE,7c:fxxxxxx,27.2,26.75,27.5,27.21,27.03,27.5,9.48,9.34,9.62,9.48,9.37,9.54,7.06,5.63,9.15,6.99,5.7,8.83,0.06
